Entity,Code,Year,Annual CO₂ emissions
Tanzania,TZA,1950,498304
Tanzania,TZA,1951,447008
Tanzania,TZA,1952,538608
Tanzania,TZA,1953,527616
Tanzania,TZA,1954,538608
Tanzania,TZA,1955,556928
Tanzania,TZA,1956,659520
Tanzania,TZA,1957,762112
Tanzania,TZA,1958,802416
Tanzania,TZA,1959,688832
Tanzania,TZA,1960,828064
Tanzania,TZA,1961,703488
Tanzania,TZA,1962,765776
Tanzania,TZA,1963,802416
Tanzania,TZA,1964,1033247.94
Tanzania,TZA,1965,1161488
Tanzania,TZA,1966,1370129
Tanzania,TZA,1967,1758126
Tanzania,TZA,1968,1651841
Tanzania,TZA,1969,1794677
Tanzania,TZA,1970,1765365
Tanzania,TZA,1971,2461495
Tanzania,TZA,1972,2164473
Tanzania,TZA,1973,3182738
Tanzania,TZA,1974,2303467
Tanzania,TZA,1975,2281601
Tanzania,TZA,1976,2785968
Tanzania,TZA,1977,2007622
Tanzania,TZA,1978,2197332
Tanzania,TZA,1979,2062789.9
Tanzania,TZA,1980,1873642
Tanzania,TZA,1981,2106825
Tanzania,TZA,1982,2148300
Tanzania,TZA,1983,2196304
Tanzania,TZA,1984,2346983
Tanzania,TZA,1985,2337900
Tanzania,TZA,1986,2277593
Tanzania,TZA,1987,2367510
Tanzania,TZA,1988,2271686
Tanzania,TZA,1989,2161598
Tanzania,TZA,1990,2112309
Tanzania,TZA,1991,2255268
Tanzania,TZA,1992,2177588
Tanzania,TZA,1993,2426036
Tanzania,TZA,1994,2063123
Tanzania,TZA,1995,2433890
Tanzania,TZA,1996,2526706
Tanzania,TZA,1997,2824358
Tanzania,TZA,1998,2480937
Tanzania,TZA,1999,2458755
Tanzania,TZA,2000,2571821
Tanzania,TZA,2001,3040810
Tanzania,TZA,2002,3485616
Tanzania,TZA,2003,3687241
Tanzania,TZA,2004,4221283
Tanzania,TZA,2005,5355817
Tanzania,TZA,2006,5876241
Tanzania,TZA,2007,5706146
Tanzania,TZA,2008,5988669
Tanzania,TZA,2009,5807482
Tanzania,TZA,2010,7194109
Tanzania,TZA,2011,8502593
Tanzania,TZA,2012,10400848
Tanzania,TZA,2013,11273457
Tanzania,TZA,2014,11085741
Tanzania,TZA,2015,12910543
Tanzania,TZA,2016,13647127
Tanzania,TZA,2017,13681591
Tanzania,TZA,2018,14410429
Tanzania,TZA,2019,16377151
Tanzania,TZA,2020,16250422
Tanzania,TZA,2021,18266576
Tanzania,TZA,2022,17735866
Tanzania,TZA,2023,18066046
